# of adv guards,adv guard bw,# of adv exits,adv exit bw,# of nodes,# of paths,# of trees,% bandwidth of adversary exit nodes among other exit nodes,% bandwidth of adversary entry nodes among other entry nodes,% bandwidth of adversary nodes among all nodes,% of paths with an adversary exit node,% of paths with an adversary entry node,% of paths with both aversary exit and entry node,% of paths with both aversary exit midle and entry node,% of trees with an adversary exit node,% of trees with an adversary entry node,% of trees with an adversary entry and exit node,% of trees with an adversary entry middle and exit node,average number of adversary middle nodes,average number of adversary exit nodes,
200,10000,200,15000,7145,100,100,9.504260617470903,2.3212210894959906,4.97029597048861,17.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,8,59,
200,10000,201,15000,7146,100,100,9.547244945351284,2.3212210894959906,4.984463630615126,10.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,5,45,
200,10000,202,15000,7147,100,100,9.590188458597495,2.3212210894959906,4.99862706695341,14.0,100.0,14.0,0.0,44.0,0.0,0.0,0.0,6,50,
200,10000,203,15000,7148,100,100,9.633091215313636,2.3212210894959906,5.012786281392027,13.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,6,49,
200,10000,204,15000,7149,100,100,9.67595327349357,2.3212210894959906,5.026941275818422,13.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,7,62,
200,10000,205,15000,7150,100,100,9.718774691021189,2.3212210894959906,5.041092052118912,17.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,5,41,
200,10000,206,15000,7151,100,100,9.761555525670664,2.3212210894959906,5.055238612178689,10.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,12,39,
200,10000,207,15000,7152,100,100,9.80429583510671,2.3212210894959906,5.069380957881825,11.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,3,41,
200,10000,208,15000,7153,100,100,9.84699567688485,2.3212210894959906,5.083519091111267,11.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2,50,
200,10000,209,15000,7154,100,100,9.889655108451661,2.3212210894959906,5.097653013748841,13.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,9,51,
200,10000,210,15000,7155,100,100,9.932274187145046,2.3212210894959906,5.111782727675254,9.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,5,56,
200,10000,211,15000,7156,100,100,9.974852970194478,2.3212210894959906,5.12590823477009,10.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,10,63,
200,10000,212,15000,7157,100,100,10.017391514721266,2.3212210894959906,5.140029536911817,12.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,6,58,
200,10000,213,15000,7158,100,100,10.059889877738804,2.3212210894959906,5.154146635977783,14.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,3,65,
200,10000,214,15000,7159,100,100,10.102348116152832,2.3212210894959906,5.1682595338442185,9.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,2,42,
200,10000,215,15000,7160,100,100,10.144766286761683,2.3212210894959906,5.182368232386239,23.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,9,62,
200,10000,216,15000,7161,100,100,10.187144446256541,2.3212210894959906,5.196472733477842,13.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,6,40,
200,10000,217,15000,7162,100,100,10.229482651221687,2.3212210894959906,5.210573038991913,20.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,7,57,
200,10000,218,15000,7163,100,100,10.271780958134766,2.3212210894959906,5.224669150800221,17.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,4,78,
200,10000,219,15000,7164,100,100,10.314039423367017,2.3212210894959906,5.238761070773422,10.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,6,53,
200,10000,220,15000,7165,100,100,10.356258103183542,2.3212210894959906,5.252848800781061,18.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,8,48,
200,10000,221,15000,7166,100,100,10.398437053743546,2.3212210894959906,5.266932342691571,19.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,6,51,
200,10000,222,15000,7167,100,100,10.440576331100587,2.3212210894959906,5.281011698372272,12.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,6,50,
200,10000,223,15000,7168,100,100,10.482675991202825,2.3212210894959906,5.295086869689379,10.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,9,59,
200,10000,224,15000,7169,100,100,10.524736089893274,2.3212210894959906,5.309157858507992,9.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,4,56,
200,10000,225,15000,7170,100,100,10.566756682910041,2.3212210894959906,5.323224666692106,15.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,4,58,
200,10000,226,15000,7171,100,100,10.608737825886578,2.3212210894959906,5.337287296104609,14.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,8,54,
200,10000,227,15000,7172,100,100,10.650679574351924,2.3212210894959906,5.351345748607281,11.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,10,63,
200,10000,228,15000,7173,100,100,10.692581983730955,2.3212210894959906,5.365400026060797,14.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,7,48,
200,10000,229,15000,7174,100,100,10.73444510934462,2.3212210894959906,5.379450130324726,20.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,8,59,
200,10000,230,15000,7175,100,100,10.776269006410192,2.3212210894959906,5.393496063257534,12.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,9,64,
200,10000,231,15000,7176,100,100,10.81805373004151,2.3212210894959906,5.407537826716584,17.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,11,66,
200,10000,232,15000,7177,100,100,10.859799335249214,2.3212210894959906,5.421575422558132,11.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,2,54,
200,10000,233,15000,7178,100,100,10.901505876940995,2.3212210894959906,5.4356088526373405,17.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,6,67,
200,10000,234,15000,7179,100,100,10.94317340992183,2.3212210894959906,5.449638118808263,15.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,99,41,
200,10000,235,15000,7180,100,100,10.984801988894224,2.3212210894959906,5.4636632229238575,12.0,100.0,12.0,0.0,52.0,200.0,52.0,0.0,6,60,
200,10000,236,15000,7181,100,100,11.026391668458455,2.3212210894959906,5.477684166835982,18.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,4,62,
200,10000,237,15000,7182,100,100,11.0679425031128,2.3212210894959906,5.491700952395395,15.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,7,59,
